Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Manganbabingtonite,Ca_2_Mn^2+^Fe^3+^Si_5_O_14_(OH),Ca Mn^2+ Fe^3+ Si O H,Ca Mn^2+ Fe^3+ Si O H,Ca Mn Fe Si O H,Ca Mn^2+ Fe^3+ Si O H,valid,,,
Manganbelyankinite,"Mn^2+^(Ti^4+^,Nb^5+^)_5_O_12_·9H_2_O",Mn^2+ Ti^4+ Nb^5+ O H,Mn^2+ Ti^4+ Nb^5+ O H,Mn Ti Nb O H,Mn^2+ Ti^4+ Nb^5+ O H,valid,,,
Manganberzeliite,NaCa_2_Mn^2+^_2_(As^5+^O_4_)_3_,Na Ca Mn^2+ As^5+ O,Na Ca Mn^2+ As^5+ O,Na Ca Mn As O,Na Ca Mn^2+ As^5+ O,valid,,,
Manganflurlite,Zn^2+^Mn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O,Zn^2+ Mn^2+ Fe^3+ P O H,Zn^2+ Mn^2+ Fe^3+ P O H,Zn Mn Fe P O H,Zn^2+ Mn^2+ Fe^3+ P O H,valid,,,
Mangangordonite,Mn^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mn^2+ Al P O H,Mn^2+ Al P O H,Mn Al P O H,Mn^2+ Al P O H,valid,,,
Manganhumite,Mn^2+^_7_(SiO_4_)_3_(OH)_2_,Mn^2+ Si O H,Mn^2+ Si O H,Mn Si O H,Mn^2+ Si O H,valid,,,
Manganiakasakaite-(La),CaLa^3+^Mn^3+^AlMn^2+^(Si_2_O_7_)(SiO_4_)O(OH),Ca La^3+ Mn^3+ Al Mn^2+ Si O H,Ca La^3+ Mn^3+ Al Mn^2+ Si O H,Ca La Mn Al Si O H,Ca La^3+ Mn^3+ Al Mn^2+ Si O H,valid,,,
Manganiandrosite-(Ce),Mn^2+^Ce^3+^AlMn^3+^Mn^2+^(Si_2_O_7_)(SiO_4_)O(OH),Mn^2+ Ce^3+ Al Mn^3+ Si O H,Mn^2+ Ce^3+ Al Mn^3+ Si O H,Mn Ce Al Si O H,Mn^2+ Ce^3+ Al Mn^3+ Si O H,valid,,,
Manganiandrosite-(La),Mn^2+^La^3+^AlMn^3+^Mn^2+^(Si_2_O_7_)(SiO_4_)O(OH),Mn^2+ La^3+ Al Mn^3+ Si O H,Mn^2+ La^3+ Al Mn^3+ Si O H,Mn La Al Si O H,Mn^2+ La^3+ Al Mn^3+ Si O H,valid,,,
Manganiceladonite,KMgMn^3+^Si_4_O_10_(OH)_2_,K Mg Mn^3+ Si O H,K Mg Mn^3+ Si O H,K Mg Mn Si O H,K Mg Mn^3+ Si O H,valid,,,
Mangani-dellaventuraite,NaNa_2_(MgMn^3+^_2_LiTi^4+^)Si_8_O_22_O_2_,Na Mg Mn^3+ Li Ti^4+ Si O,Na Mg Mn^3+ Li Ti^4+ Si O,Na Mg Mn Li Ti Si O,Na Mg Mn^3+ Li Ti^4+ Si O,valid,,,
Mangani-eckermannite,NaNa_2_(Mg_4_Mn^3+^)Si_8_O_22_(OH)_2_,Na Mg Mn^3+ Si O H,Na Mg Mn^3+ Si O H,Na Mg Mn Si O H,Na Mg Mn^3+ Si O H,valid,,,
Manganilvaite,CaFe^2+^Fe^3+^Mn^2+^(Si_2_O_7_)O(OH),Ca Fe^2+ Fe^3+ Mn^2+ Si O H,Ca Fe^2+ Fe^3+ Mn^2+ Si O H,Ca Fe Mn Si O H,Ca Fe^2+ Fe^3+ Mn^2+ Si O H,valid,,,
Mangani-obertiite,NaNa_2_(Mg_3_Mn^3+^Ti^4+^)Si_8_O_22_O_2_,Na Mg Mn^3+ Ti^4+ Si O,Na Mg Mn^3+ Ti^4+ Si O,Na Mg Mn Ti Si O,Na Mg Mn^3+ Ti^4+ Si O,valid,,,
Mangani-pargasite,NaCa_2_(Mg_4_Mn^3+^)(Si_6_Al_2_)O_22_(OH)_2_,Na Ca Mg Mn^3+ Si Al O H,Na Ca Mg Mn^3+ Si Al O H,Na Ca Mg Mn Si Al O H,Na Ca Mg Mn^3+ Si Al O H,valid,,,
Manganite,Mn^3+^O(OH),Mn^3+ O H,Mn^3+ O H,Mn O H,Mn^3+ O H,valid,,,
Manganlotharmeyerite,CaMn^3+^_2_(As^5+^O_4_)_2_(OH)_2_,Ca Mn^3+ As^5+ O H,Ca Mn^3+ As^5+ O H,Ca Mn As O H,Ca Mn^3+ As^5+ O H,valid,,,
Manganoarrojadite-(KNa),KNa_5_Mn^2+^Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,K Na Mn^2+ Fe^2+ Al P O H,K Na Mn^2+ Fe^2+ Al P O H,K Na Mn Fe Al P O H,K Na Mn^2+ Fe^2+ Al P O H,valid,,,
Manganobadalovite,NaNaMn^2+^(MgFe^3+^)(As^5+^O_4_)_3_,Na Mn^2+ Mg Fe^3+ As^5+ O,Na Mn^2+ Mg Fe^3+ As^5+ O,Na Mn Mg Fe As O,Na Mn^2+ Mg Fe^3+ As^5+ O,valid,,,
Manganoblödite,Na_2_Mn^2+^(S^6+^O_4_)_2_(H_2_O)_4_,Na Mn^2+ S^6+ O H,Na Mn^2+ S^6+ O H,Na Mn S O H,Na Mn^2+ S^6+ O H,valid,,,
Manganochromite,Mn^2+^Cr^3+^_2_O_4_,Mn^2+ Cr^3+ O,Mn^2+ Cr^3+ O,Mn Cr O,Mn^2+ Cr^3+ O,valid,,,
Manganoeudialyte,"Na_14_Ca_6_Mn^2+^_3_Zr^4+^_3_[Si_26_O_72_(OH)_2_](H_2_O,Cl,O,OH)_6_",Na Ca Mn^2+ Zr^4+ Si O H Cl,Na Ca Mn^2+ Zr^4+ Si O H Cl,Na Ca Mn Zr Si O H Cl,Na Ca Mn^2+ Zr^4+ Si O H Cl,valid,,,
Mangano-ferri-eckermannite,NaNa_2_(Mn^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_,Na Mn^2+ Fe^3+ Si O H,Na Mn^2+ Fe^3+ Si O H,Na Mn Fe Si O H,Na Mn^2+ Fe^3+ Si O H,valid,,,
Manganohatertite,NaNaCa(Mn^2+^Fe^3+^)(As^5+^O_4_)_3_,Na Ca Mn^2+ Fe^3+ As^5+ O,Na Ca Mn^2+ Fe^3+ As^5+ O,Na Ca Mn Fe As O,Na Ca Mn^2+ Fe^3+ As^5+ O,valid,,,
Manganohörnesite,Mn^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Mn^2+ As^5+ O H,Mn^2+ As^5+ O H,Mn As O H,Mn^2+ As^5+ O H,valid,,,
Manganokaskasite,"(Mo,Nb^5+^)S_2_·(Mn^2+^_1-x_Al_x_)(OH)_2+x_",Mo Nb^5+ S Mn^2+ Al O H,Mo Nb^5+ S Mn^2+ Al O H,Mo Nb S Mn Al O H,Mo Nb^5+ S Mn^2+ Al O H,valid,,,
Manganokhomyakovite,"Na_12_Ca_6_Sr_3_Mn^2+^_3_W^6+^Zr^4+^_3_(Si_25_O_73_)(O,OH,H_2_O)_3_(Cl,OH)_2_",Na Ca Sr Mn^2+ W^6+ Zr^4+ Si O H Cl,Na Ca Sr Mn^2+ W^6+ Zr^4+ Si O H Cl,Na Ca Sr Mn W Zr Si O H Cl,Na Ca Sr Mn^2+ W^6+ Zr^4+ Si O H Cl,valid,,,
Manganokukisvumite,Na_6_Mn^2+^Ti^4+^_4_Si_8_O_28_(H_2_O)_4_,Na Mn^2+ Ti^4+ Si O H,Na Mn^2+ Ti^4+ Si O H,Na Mn Ti Si O H,Na Mn^2+ Ti^4+ Si O H,valid,,,
Manganolangbeinite,K_2_Mn^2+^_2_(S^6+^O_4_)_3_,K Mn^2+ S^6+ O,K Mn^2+ S^6+ O,K Mn S O,K Mn^2+ S^6+ O,valid,,,
Mangano-mangani-ungarettiite,NaNa_2_(Mn^2+^_2_Mn^3+^_3_)Si_8_O_22_O_2_,Na Mn^2+ Mn^3+ Si O,Na Mn^2+ Mn^3+ Si O,Na Mn Si O,Na Mn^2+ Mn^3+ Si O,valid,,,
Manganonaujakasite,Na_6_Mn^2+^Al_4_Si_8_O_26_,Na Mn^2+ Al Si O,Na Mn^2+ Al Si O,Na Mn Al Si O,Na Mn^2+ Al Si O,valid,,,
Manganoneptunite,KNa_2_LiMn^2+^_2_Ti^4+^_2_Si_8_O_24_,K Na Li Mn^2+ Ti^4+ Si O,K Na Li Mn^2+ Ti^4+ Si O,K Na Li Mn Ti Si O,K Na Li Mn^2+ Ti^4+ Si O,valid,,,
Manganonewberyite,Mn^2+^(PO_3_OH)(H_2_O)_3_,Mn^2+ P O H,Mn^2+ P O H,Mn P O H,Mn^2+ P O H,valid,,,
Manganonordite-(Ce),Na_3_SrCe^3+^Mn^2+^Si_6_O_17_,Na Sr Ce^3+ Mn^2+ Si O,Na Sr Ce^3+ Mn^2+ Si O,Na Sr Ce Mn Si O,Na Sr Ce^3+ Mn^2+ Si O,valid,,,
Manganoquadratite,Ag^1+^Mn^2+^As^3+^S^2-^_3_,Ag^1+ Mn^2+ As^3+ S^2-,Ag^1+ Mn^2+ As^3+ S^2-,Ag Mn As S,Ag^1+ Mn^2+ As^3+ S^2-,valid,,,
Manganoschafarzikite,Mn^2+^Sb^3+^_2_O_4_,Mn^2+ Sb^3+ O,Mn^2+ Sb^3+ O,Mn Sb O,Mn^2+ Sb^3+ O,valid,,,
Manganosegelerite,Mn^2+^_2_Fe^3+^(PO_4_)_2_(OH)(H_2_O)_4_,Mn^2+ Fe^3+ P O H,Mn^2+ Fe^3+ P O H,Mn Fe P O H,Mn^2+ Fe^3+ P O H,valid,,,
Manganosite,Mn^2+^O,Mn^2+ O,Mn^2+ O,Mn O,Mn^2+ O,valid,,,
Manganostibite,Mn^2+^_7_Sb^5+^As^5+^O_12_,Mn^2+ Sb^5+ As^5+ O,Mn^2+ Sb^5+ As^5+ O,Mn Sb As O,Mn^2+ Sb^5+ As^5+ O,valid,,,
Manganotychite,Na_6_Mn^2+^_2_(CO_3_)_4_(S^6+^O_4_),Na Mn^2+ C O S^6+,Na Mn^2+ C O S^6+,Na Mn C O S,Na Mn^2+ C O S^6+,valid,,,
Manganrockbridgeite,Mn^2+^_2_Fe^3+^_3_(PO_4_)_3_(OH)_4_(H_2_O),Mn^2+ Fe^3+ P O H,Mn^2+ Fe^3+ P O H,Mn Fe P O H,Mn^2+ Fe^3+ P O H,valid,,,
Manganvesuvianite,Ca_19_Mn^3+^Al_10_Mg_2_(SiO_4_)_10_(Si_2_O_7_)_4_O(OH)_9_,Ca Mn^3+ Al Mg Si O H,Ca Mn^3+ Al Mg Si O H,Ca Mn Al Mg Si O H,Ca Mn^3+ Al Mg Si O H,valid,,,
Mangazeite,Al_2_S^6+^O_4_(OH)_4_·3H_2_O,Al S^6+ O H,Al S^6+ O H,Al S O H,Al S^6+ O H,valid,,,
Manitobaite,Na_16_Mn^2+^_25_Al_8_(PO_4_)_30_,Na Mn^2+ Al P O,Na Mn^2+ Al P O,Na Mn Al P O,Na Mn^2+ Al P O,valid,,,
Manjiroite,Na(Mn^4+^_7_Mn^3+^)O_16_,Na Mn^4+ Mn^3+ O,Na Mn^4+ Mn^3+ O,Na Mn O,Na Mn^4+ Mn^3+ O,valid,,,
Mannardite,Ba(Ti^4+^_6_V^3+^_2_)O_16_,Ba Ti^4+ V^3+ O,Ba Ti^4+ V^3+ O,Ba Ti V O,Ba Ti^4+ V^3+ O,valid,,,
Mansfieldite,AlAs^5+^O_4_(H_2_O)_2_,Al As^5+ O H,Al As^5+ O H,Al As O H,Al As^5+ O H,valid,,,
Mantienneite,(H_2_O)_2_Mg_2_(Al_2_Ti^4+^)(PO_4_)_4_(OH)_2_(H_2_O)_10_·4H_2_O,H O Mg Al Ti^4+ P,H O Mg Al Ti^4+ P,H O Mg Al Ti P,H O Mg Al Ti^4+ P,valid,,,
Manuelarossiite,Pb^2+^CaAlF_7_,Pb^2+ Ca Al F,Pb^2+ Ca Al F,Pb Ca Al F,Pb^2+ Ca Al F,valid,,,
Maohokite,MgFe^3+^_2_O_4_,Mg Fe^3+ O,Mg Fe^3+ O,Mg Fe O,Mg Fe^3+ O,valid,,,
Maoniupingite-(Ce),"(Ce^3+^,Ca)_4_(Fe^3+^,Ti^4+^,Fe^2+^,[box])(Ti^4+^,Fe^3+^,Fe^2+^,Nb^5+^)_4_Si_4_O_22_",Ce^3+ Ca Fe^3+ Ti^4+ Fe^2+ Nb^5+ Si O,Ce^3+ Ca Fe^3+ Ti^4+ Fe^2+ Nb^5+ Si O,Ce Ca Fe Ti Nb Si O,Ce^3+ Ca Fe^3+ Ti^4+ Fe^2+ Nb^5+ Si O,valid,,,
Mapimite,Zn^2+^_2_Fe^3+^_3_(As^5+^O_4_)_3_(OH)_4_(H_2_O)_4_·6H_2_O,Zn^2+ Fe^3+ As^5+ O H,Zn^2+ Fe^3+ As^5+ O H,Zn Fe As O H,Zn^2+ Fe^3+ As^5+ O H,valid,,,
Mapiquiroite,"(Sr,Pb^2+^)(U^4+^,Y)Fe^3+^_2_(Ti^4+^,Fe^3+^)_18_O_38_",Sr Pb^2+ U^4+ Y Fe^3+ Ti^4+ O,Sr Pb^2+ U^4+ Y Fe^3+ Ti^4+ O,Sr Pb U Y Fe Ti O,Sr Pb^2+ U^4+ Y Fe^3+ Ti^4+ O,valid,,,
Marathonite,Pd_25_Ge_9_,Pd Ge,Pd Ge,Pd Ge,Pd Ge,valid,,,
Marcasite,FeS_2_,Fe S,Fe S,Fe S,Fe S,valid,,,
Marchettiite,C_5_H_7_N_5_O_3_,C H N O,C H N O,C H N O,C H N O,valid,,,
Marcobaldiite,Pb^2+^_12_(Sb^3+^_3_As^3+^_2_Bi^3+^)S^2-^_21_,Pb^2+ Sb^3+ As^3+ Bi^3+ S^2-,Pb^2+ Sb^3+ As^3+ Bi^3+ S^2-,Pb Sb As Bi S,Pb^2+ Sb^3+ As^3+ Bi^3+ S^2-,valid,,,
Marécottite,Mg(H_2_O)_6_]_3_[(U^6+^O_2_)_4_O_3_(OH)(S^6+^O_4_)_2_]_2_·8H_2_O,Mg H O U^6+ S^6+,Mg H O U^6+ S^6+,Mg H O U S,Mg H O U^6+ S^6+,valid,,,
Margaritasite,Cs_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·H_2_O,Cs U^6+ O V^5+ H,Cs U^6+ O V^5+ H,Cs U O V H,Cs U^6+ O V^5+ H,valid,,,
Margarite,CaAl_2_(Si_2_Al_2_)O_10_(OH)_2_,Ca Al Si O H,Ca Al Si O H,Ca Al Si O H,Ca Al Si O H,valid,,,
Margarosanite,Ca_2_Pb^2+^Si_3_O_9_,Ca Pb^2+ Si O,Ca Pb^2+ Si O,Ca Pb Si O,Ca Pb^2+ Si O,valid,,,
Mariakrite,[Ca_4_Al_2_(OH)_12_(H_2_O)_4_][Fe^3+^_2_S^2-^_4_],Ca Al O H Fe^3+ S^2-,Ca Al O H Fe^3+ S^2-,Ca Al O H Fe S,Ca Al O H Fe^3+ S^2-,valid,,,
Marialite,Na_4_Al_3_Si_9_O_24_Cl,Na Al Si O Cl,Na Al Si O Cl,Na Al Si O Cl,Na Al Si O Cl,valid,,,
Marićite,NaFe^2+^PO_4_,Na Fe^2+ P O,Na Fe^2+ P O,Na Fe P O,Na Fe^2+ P O,valid,,,
Maricopaite,"Ca_2_Pb^2+^_7_(Si_36_Al_12_)O_99_·n(H_2_O,OH)",Ca Pb^2+ Si Al O H,Ca Pb^2+ Si Al O H,Ca Pb Si Al O H,Ca Pb^2+ Si Al O H,valid,,,
Mariinskite,Cr^3+^_2_BeO_4_,Cr^3+ Be O,Cr^3+ Be O,Cr Be O,Cr^3+ Be O,valid,,,
Marinaite,Cu^2+^_2_Fe^3+^O_2_(BO_3_),Cu^2+ Fe^3+ O B,Cu^2+ Fe^3+ O B,Cu Fe O B,Cu^2+ Fe^3+ O B,valid,,,
Marinellite,Na_42_Ca_6_Al_36_Si_36_O_144_(S^6+^O_4_)_8_Cl_2_(H_2_O)_6_,Na Ca Al Si O S^6+ Cl H,Na Ca Al Si O S^6+ Cl H,Na Ca Al Si O S Cl H,Na Ca Al Si O S^6+ Cl H,valid,,,
Marioantofilliite,[Cu^2+^_4_Al_2_(OH)_12_](CO_3_)(H_2_O)_3_,Cu^2+ Al O H C,Cu^2+ Al O H C,Cu Al O H C,Cu^2+ Al O H C,valid,,,
Markascherite,Cu^2+^_3_Mo^6+^O_4_(OH)_4_,Cu^2+ Mo^6+ O H,Cu^2+ Mo^6+ O H,Cu Mo O H,Cu^2+ Mo^6+ O H,valid,,,
Markcooperite,Pb^2+^_2_(U^6+^O_2_)Te^6+^O_6_,Pb^2+ U^6+ O Te^6+,Pb^2+ U^6+ O Te^6+,Pb U O Te,Pb^2+ U^6+ O Te^6+,valid,,,
Markeyite,Ca_9_(U^6+^O_2_)_4_(CO_3_)_13_·28H_2_O,Ca U^6+ O C H,Ca U^6+ O C H,Ca U O C H,Ca U^6+ O C H,valid,,,
Markhininite,Tl^1+^Bi^3+^(S^6+^O_4_)_2_,Tl^1+ Bi^3+ S^6+ O,Tl^1+ Bi^3+ S^6+ O,Tl Bi S O,Tl^1+ Bi^3+ S^6+ O,valid,,,
Marklite,Cu^2+^_5_(CO_3_)_2_(OH)_6_·6H_2_O,Cu^2+ C O H,Cu^2+ C O H,Cu C O H,Cu^2+ C O H,valid,,,
Markwelchite,Tl^1+^Pb^2+^Sb^3+^S^2-^_3_,Tl^1+ Pb^2+ Sb^3+ S^2-,Tl^1+ Pb^2+ Sb^3+ S^2-,Tl Pb Sb S,Tl^1+ Pb^2+ Sb^3+ S^2-,valid,,,
Marokite,CaMn^3+^_2_O_4_,Ca Mn^3+ O,Ca Mn^3+ O,Ca Mn O,Ca Mn^3+ O,valid,,,
Marrite,Ag^1+^Pb^2+^As^3+^S^2-^_3_,Ag^1+ Pb^2+ As^3+ S^2-,Ag^1+ Pb^2+ As^3+ S^2-,Ag Pb As S,Ag^1+ Pb^2+ As^3+ S^2-,valid,,,
Marrucciite,Hg^2+^_3_Pb^2+^_16_Sb^3+^_18_S^2-^_46_,Hg^2+ Pb^2+ Sb^3+ S^2-,Hg^2+ Pb^2+ Sb^3+ S^2-,Hg Pb Sb S,Hg^2+ Pb^2+ Sb^3+ S^2-,valid,,,
Marsaalamite-(Y),Y(Mo^6+^O_4_)(OH),Y Mo^6+ O H,Y Mo^6+ O H,Y Mo O H,Y Mo^6+ O H,valid,,,
Marshite,Cu^1+^I^1-^,Cu^1+ I^1-,Cu^1+ I^1-,Cu I,Cu^1+ I^1-,valid,,,
Marsturite,NaCaMn^2+^_3_Si_5_O_14_(OH),Na Ca Mn^2+ Si O H,Na Ca Mn^2+ Si O H,Na Ca Mn Si O H,Na Ca Mn^2+ Si O H,valid,,,
Marthozite,Cu^2+^(U^6+^O_2_)_3_(Se^4+^O_3_)_2_O_2_·8H_2_O,Cu^2+ U^6+ O Se^4+ H,Cu^2+ U^6+ O Se^4+ H,Cu U O Se H,Cu^2+ U^6+ O Se^4+ H,valid,,,
Martinandresite,Ba_2_(Al_4_Si_12_O_32_)·10H_2_O,Ba Al Si O H,Ba Al Si O H,Ba Al Si O H,Ba Al Si O H,valid,,,
Martinite,"(Na,[box],Ca)_12_Ca_4_(Si,S^6+^,B)_14_B_2_O_38_(OH,Cl)_2_F_2_(H_2_O)_4_",Na Ca Si S^6+ B O H Cl F,Na Ca Si S^6+ B O H Cl F,Na Ca Si S B O H Cl F,Na Ca Si S^6+ B O H Cl F,valid,,,
Martyite,Zn^2+^_3_V^5+^_2_O_7_(OH)_2_·2H_2_O,Zn^2+ V^5+ O H,Zn^2+ V^5+ O H,Zn V O H,Zn^2+ V^5+ O H,valid,,,
Marumoite,Pb^2+^_8_As^3+^_10_S^2-^_23_,Pb^2+ As^3+ S^2-,Pb^2+ As^3+ S^2-,Pb As S,Pb^2+ As^3+ S^2-,valid,,,
Maruyamaite,K(MgAl_2_)(Al_5_Mg)(BO_3_)_3_(Si_6_O_18_)(OH)_3_O,K Mg Al B O Si H,K Mg Al B O Si H,K Mg Al B O Si H,K Mg Al B O Si H,valid,,,
Masaitisite,KCu^2+^_5_O_2_(Se^4+^O_3_)_2_Cl_3_,K Cu^2+ O Se^4+ Cl,K Cu^2+ O Se^4+ Cl,K Cu O Se Cl,K Cu^2+ O Se^4+ Cl,valid,,,
Mascagnite,(N^3-^H_4_)_2_S^6+^O_4_,N^3- H S^6+ O,N^3- H S^6+ O,N H S O,N^3- H S^6+ O,valid,,,
Maslovite,PtBiTe,Pt Bi Te,Pt Bi Te,Pt Bi Te,Pt Bi Te,valid,,,
Massicot,Pb^2+^O,Pb^2+ O,Pb^2+ O,Pb O,Pb^2+ O,valid,,,
Masutomilite,"KLiAlMn^2+^(Si_3_Al)O_10_(F,OH)_2_",K Li Al Mn^2+ Si O F H,K Li Al Mn^2+ Si O F H,K Li Al Mn Si O F H,K Li Al Mn^2+ Si O F H,valid,,,
Masuyite,Pb^2+^(U^6+^O_2_)_3_O_3_(OH)_2_(H_2_O)_3_,Pb^2+ U^6+ O H,Pb^2+ U^6+ O H,Pb U O H,Pb^2+ U^6+ O H,valid,,,
Mathesiusite,K_5_(U^6+^O_2_)_4_(S^6+^O_4_)_4_(V^5+^O_5_)·4H_2_O,K U^6+ O S^6+ V^5+ H,K U^6+ O S^6+ V^5+ H,K U O S V H,K U^6+ O S^6+ V^5+ H,valid,,,
Mathewrogersite,"Pb^2+^_7_Fe^2+^Al_3_GeSi_12_O_36_(OH,H_2_O)_6_",Pb^2+ Fe^2+ Al Ge Si O H,Pb^2+ Fe^2+ Al Ge Si O H,Pb Fe Al Ge Si O H,Pb^2+ Fe^2+ Al Ge Si O H,valid,,,
Mathiasite,"(K,Ba,Sr)(Zr^4+^,Fe^3+^)(Mg,Fe^3+^)_2_(Ti^4+^,Cr^3+^,Fe^3+^)_18_O_38_",K Ba Sr Zr^4+ Fe^3+ Mg Ti^4+ Cr^3+ O,K Ba Sr Zr^4+ Fe^3+ Mg Ti^4+ Cr^3+ O,K Ba Sr Zr Fe Mg Ti Cr O,K Ba Sr Zr^4+ Fe^3+ Mg Ti^4+ Cr^3+ O,valid,,,
Matildite,Ag^1+^Bi^3+^S^2-^_2_,Ag^1+ Bi^3+ S^2-,Ag^1+ Bi^3+ S^2-,Ag Bi S,Ag^1+ Bi^3+ S^2-,valid,,,
Matioliite,NaMgAl_5_(PO_4_)_4_(OH)_6_·2H_2_O,Na Mg Al P O H,Na Mg Al P O H,Na Mg Al P O H,Na Mg Al P O H,valid,,,
Matlockite,Pb^2+^ClF,Pb^2+ Cl F,Pb^2+ Cl F,Pb Cl F,Pb^2+ Cl F,valid,,,
Matsubaraite,Sr_4_Ti^4+^_5_O_8_(Si_2_O_7_)_2_,Sr Ti^4+ O Si,Sr Ti^4+ O Si,Sr Ti O Si,Sr Ti^4+ O Si,valid,,,
Mattagamite,CoTe_2_,Co Te,Co Te,Co Te,Co Te,valid,,,
Matteuccite,NaHS^6+^O_4_(H_2_O),Na H S^6+ O,Na H S^6+ O,Na H S O,Na H S^6+ O,valid,,,
Mattheddleite,Pb^2+^_5_(SiO_4_)_1.5_(S^6+^O_4_)_1.5_Cl,Pb^2+ Si O S^6+ Cl,Pb^2+ Si O S^6+ Cl,Pb Si O S Cl,Pb^2+ Si O S^6+ Cl,valid,,,
Matthiasweilite,Pb^2+^Te^4+^O_3_,Pb^2+ Te^4+ O,Pb^2+ Te^4+ O,Pb Te O,Pb^2+ Te^4+ O,valid,,,
Matulaite,Fe^3+^Al_7_(PO_4_)_4_(PO_3_OH)_2_(OH)_8_(H_2_O)_8_·8H_2_O,Fe^3+ Al P O H,Fe^3+ Al P O H,Fe Al P O H,Fe^3+ Al P O H,valid,,,
Matyhite,Ca_9_(Ca_0.5_[box]_0.5_)Fe^2+^(PO_4_)_7_,Ca Fe^2+ P O,Ca Fe^2+ P O,Ca Fe P O,Ca Fe^2+ P O,valid,,,
Maucherite,Ni_11_As_8_,Ni As,Ni As,Ni As,Ni As,valid,,,
Mauriziodiniite,(N^3-^H_4_)(As^3+^_2_O_3_)_2_I^1-^,N^3- H As^3+ O I^1-,N^3- H As^3+ O I^1-,N H As O I,N^3- H As^3+ O I^1-,valid,,,
Maurogemmiite,Ti_10_Fe_3_O_3_,Ti Fe O,Ti Fe O,Ti Fe O,Ti Fe O,valid,,,
Mavlyanovite,Mn^2+^_3_Mn^3+^_2_Si^4-^_3_,Mn^2+ Mn^3+ Si^4-,Mn^2+ Mn^3+ Si^4-,Mn Si,Mn^2+ Mn^3+ Si^4-,valid,,,
Mawbyite,Pb^2+^Fe^3+^_2_(As^5+^O_4_)_2_(OH)_2_,Pb^2+ Fe^3+ As^5+ O H,Pb^2+ Fe^3+ As^5+ O H,Pb Fe As O H,Pb^2+ Fe^3+ As^5+ O H,valid,,,
Mawsonite,Cu^1+^_6_Fe^3+^_2_Sn^4+^S^2-^_8_,Cu^1+ Fe^3+ Sn^4+ S^2-,Cu^1+ Fe^3+ Sn^4+ S^2-,Cu Fe Sn S,Cu^1+ Fe^3+ Sn^4+ S^2-,valid,,,
Maxwellite,NaFe^3+^As^5+^O_4_F,Na Fe^3+ As^5+ O F,Na Fe^3+ As^5+ O F,Na Fe As O F,Na Fe^3+ As^5+ O F,valid,,,
Mayingite,IrBiTe,Ir Bi Te,Ir Bi Te,Ir Bi Te,Ir Bi Te,valid,,,
Mazorite,Ba_3_(PO_4_)_2_,Ba P O,Ba P O,Ba P O,Ba P O,valid,,,
Mazzettiite,Ag^1+^_3_Hg^2+^Pb^2+^Sb^3+^Te^2-^_5_,Ag^1+ Hg^2+ Pb^2+ Sb^3+ Te^2-,Ag^1+ Hg^2+ Pb^2+ Sb^3+ Te^2-,Ag Hg Pb Sb Te,Ag^1+ Hg^2+ Pb^2+ Sb^3+ Te^2-,valid,,,
Mazzite-Mg,Mg_5_(Si_26_Al_10_)O_72_·30H_2_O,Mg Si Al O H,Mg Si Al O H,Mg Si Al O H,Mg Si Al O H,valid,,,
Mazzite-Na,Na_8_(Si_28_Al_8_)O_72_·30H_2_O,Na Si Al O H,Na Si Al O H,Na Si Al O H,Na Si Al O H,valid,,,
Mbobomkulite,Ni^2+^Al_4_(N^5+^O_3_)_2_(OH)_12_(H_2_O)_3_,Ni^2+ Al N^5+ O H,Ni^2+ Al N^5+ O H,Ni Al N O H,Ni^2+ Al N^5+ O H,valid,,,
Mcallisterite,Mg_2_[B_6_O_7_(OH)_6_]_2_·9H_2_O,Mg B O H,Mg B O H,Mg B O H,Mg B O H,valid,,,
Mcalpineite,Cu^2+^_3_Te^6+^O_6_,Cu^2+ Te^6+ O,Cu^2+ Te^6+ O,Cu Te O,Cu^2+ Te^6+ O,valid,,,
Mcauslanite,Fe^2+^_3_Al_2_(PO_4_)_3_(PO_3_OH)F·18H_2_O,Fe^2+ Al P O H F,Fe^2+ Al P O H F,Fe Al P O H F,Fe^2+ Al P O H F,valid,,,
Mcbirneyite,Cu^2+^_3_(V^5+^O_4_)_2_,Cu^2+ V^5+ O,Cu^2+ V^5+ O,Cu V O,Cu^2+ V^5+ O,valid,,,
Mcconnellite,Cu^1+^Cr^3+^O_2_,Cu^1+ Cr^3+ O,Cu^1+ Cr^3+ O,Cu Cr O,Cu^1+ Cr^3+ O,valid,,,
Mccrillisite,NaCsBeZr^4+^_2_(PO_4_)_4_·1-2H_2_O,Na Cs Be Zr^4+ P O H,Na Cs Be Zr^4+ P O H,Na Cs Be Zr P O H,Na Cs Be Zr^4+ P O H,valid,,,
