Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Betpakdalite-CaCa,[Ca_2_(H_2_O)_17_Ca(H_2_O)_6_][Mo^6+^_8_As^5+^_2_Fe^3+^_3_O_36_(OH)],Ca H O Mo^6+ As^5+ Fe^3+,Ca H O Mo^6+ As^5+ Fe^3+,Ca H O Mo As Fe,Ca H O Mo^6+ As^5+ Fe^3+,valid,,,
Betpakdalite-CaMg,[Ca_2_(H_2_O)_17_Mg(H_2_O)_6_][Mo^6+^_8_As^5+^_2_Fe^3+^_3_O_36_(OH)],Ca H O Mg Mo^6+ As^5+ Fe^3+,Ca H O Mg Mo^6+ As^5+ Fe^3+,Ca H O Mg Mo As Fe,Ca H O Mg Mo^6+ As^5+ Fe^3+,valid,,,
Betpakdalite-FeFe,[Fe^3+^_2_(H_2_O)_15_(OH)_2_Fe^3+^(H_2_O)_6_][Mo^6+^_8_As^3+^_2_Fe^3+^_3_O_37_],Fe^3+ H O Mo^6+ As^3+,Fe^3+ H O Mo^6+ As^3+,Fe H O Mo As,Fe^3+ H O Mo^6+ As^3+,valid,,,
Betpakdalite-NaCa,[Na_2_(H_2_O)_17_Ca(H_2_O)_6_][Mo^6+^_8_As^5+^_2_Fe^3+^_3_O_34_(OH)_3_],Na H O Ca Mo^6+ As^5+ Fe^3+,Na H O Ca Mo^6+ As^5+ Fe^3+,Na H O Ca Mo As Fe,Na H O Ca Mo^6+ As^5+ Fe^3+,valid,,,
Betpakdalite-NaNa,[Na_2_(H_2_O)_16_Na(H_2_O)_6_][Mo^6+^_8_As^5+^_2_Fe^3+^_3_O_33_(OH)_4_],Na H O Mo^6+ As^5+ Fe^3+,Na H O Mo^6+ As^5+ Fe^3+,Na H O Mo As Fe,Na H O Mo^6+ As^5+ Fe^3+,valid,,,
Bettertonite,Al_6_(As^5+^O_4_)_3_(OH)_9_·16H_2_O,Al As^5+ O H,Al As^5+ O H,Al As O H,Al As^5+ O H,valid,,,
Betzite,Na_6_Ca_2_(Al_6_Si_6_O_24_)Cl_4_,Na Ca Al Si O Cl,Na Ca Al Si O Cl,Na Ca Al Si O Cl,Na Ca Al Si O Cl,valid,,,
Beudantite,Pb^2+^Fe^3+^_3_(As^5+^O_4_)(S^6+^O_4_)(OH)_6_,Pb^2+ Fe^3+ As^5+ O S^6+ H,Pb^2+ Fe^3+ As^5+ O S^6+ H,Pb Fe As O S H,Pb^2+ Fe^3+ As^5+ O S^6+ H,valid,,,
Beusite,Mn^2+^Mn^2+^_2_(PO_4_)_2_,Mn^2+ P O,Mn^2+ P O,Mn P O,Mn^2+ P O,valid,,,
Beusite-(Ca),CaMn^2+^_2_(PO_4_)_2_,Ca Mn^2+ P O,Ca Mn^2+ P O,Ca Mn P O,Ca Mn^2+ P O,valid,,,
Beyerite,CaBi^3+^_2_O_2_(CO_3_)_2_,Ca Bi^3+ O C,Ca Bi^3+ O C,Ca Bi O C,Ca Bi^3+ O C,valid,,,
Bezsmertnovite,"(Au,Ag)_4_Cu(Te,Pb)",Au Ag Cu Te Pb,Au Ag Cu Te Pb,Au Ag Cu Te Pb,Au Ag Cu Te Pb,valid,,,
Biachellaite,"(Na,Ca,K)_8_(Si_6_Al_6_O_24_)(S^6+^O_4_)_2_(OH)_0.5_·H_2_O",Na Ca K Si Al O S^6+ H,Na Ca K Si Al O S^6+ H,Na Ca K Si Al O S H,Na Ca K Si Al O S^6+ H,valid,,,
Biagioniite,Tl_2_SbS_2_,Tl Sb S,Tl Sb S,Tl Sb S,Tl Sb S,valid,,,
Bianchiniite,Ba_2_(Ti^4+^V^3+^)(As^3+^_2_O_5_)_2_OF,Ba Ti^4+ V^3+ As^3+ O F,Ba Ti^4+ V^3+ As^3+ O F,Ba Ti V As O F,Ba Ti^4+ V^3+ As^3+ O F,valid,,,
Bianchite,Zn^2+^S^6+^O_4_·6H_2_O,Zn^2+ S^6+ O H,Zn^2+ S^6+ O H,Zn S O H,Zn^2+ S^6+ O H,valid,,,
