source_index,target_index,neighbor_rank,distance
1855,2989,1,0.9110146058869549
1855,4299,2,1.2301073062839811
1855,2870,3,1.2301073062839811
1855,3827,4,1.2702075919886402
1855,4860,5,1.3552243086692934
1855,1315,6,1.374123780074949
1855,5931,7,1.380624905458473
1855,1995,8,1.380624905458473
1855,5305,9,1.3969227738503684
1855,2265,10,1.4083527643059994
1856,4147,1,0.6582625361265918
1856,1858,2,0.6637988408310915
1856,1857,3,0.6788634368686701
1856,1876,4,0.8928819043215457
1856,1875,5,0.9687774610618438
1856,2519,6,1.032872837238163
1856,2495,7,1.098691518817504
1856,1797,8,1.139446507520236
1856,4140,9,1.1597006359526438
1856,4141,10,1.1695756818196303
1857,1856,1,0.6788634368686701
1857,4147,2,0.7102127634160115
1857,2501,3,0.8092254950468349
1857,2495,4,0.8490760888953381
1857,1858,5,0.9736076356330909
1857,1876,6,1.0065590870002543
1857,1797,7,1.0334394622052594
1857,2519,8,1.0981141973148865
1857,2517,9,1.110637195405686
1857,1875,10,1.1246113855328272
1858,1856,1,0.6637988408310915
1858,1857,2,0.9736076356330909
1858,1876,3,1.0025514316709931
1858,4147,4,1.0060149244982117
1858,4142,5,1.169226204565857
1858,2519,6,1.1920399592369155
1858,1875,7,1.208324901206929
1858,2495,8,1.2774234496890748
1858,1797,9,1.2985545476530813
1858,4153,10,1.3150539200996065
1859,1930,1,0.2850466140346996
1859,1553,2,0.86149755997137
1859,1606,3,0.86149755997137
1859,1389,4,1.1432288317051815
1859,5869,5,1.1912535941045972
1859,2037,6,1.194032908628714
1859,5046,7,1.207525931334778
1859,5553,8,1.308058588103115
1859,3674,9,1.3178705539793587
1859,158,10,1.3744068753742622
1860,1897,1,0.06848617270374961
1860,1898,2,0.1050589316024055
1860,4461,3,0.11973353739213691
1860,3703,4,0.1498213632907761
1860,5290,5,0.1829475279647218
1860,1840,6,0.2685605365561412
1860,6114,7,0.31172304978154064
1860,247,8,0.3605714428636399
1860,5683,9,0.4924892530553054
1860,3767,10,0.5194808247514512
